ID;Data;ClienteID;TipoReservaID;FuncionarioID;FormaPagamentoID;Valor Total;Comissão;StatusID;AvaliacaoID
2040;03/02/2018;25;2;3;2;2500;125;1;4
2041;04/02/2018;19;2;2;1;2535;126,75;2;5
2042;05/02/2018;19;1;1;1;2570;128,5;1;5
2043;06/02/2018;19;1;1;1;2605;130,25;1;5
2044;07/02/2018;25;1;2;1;2640;132;2;5
2045;07/02/2018;19;1;3;1;5678;283,9;1;5
2046;08/02/2018;19;2;3;2;2675;133,75;1;5
2047;09/02/2018;19;2;4;3;2710;135,5;2;5
2048;10/02/2018;25;1;4;1;2745;137,25;1;3
2049;11/02/2018;19;1;2;1;2780;139;1;5
2050;12/02/2018;19;1;1;1;2815;140,75;2;5
2051;13/02/2018;25;2;1;1;2850;142,5;1;5
2052;14/02/2018;25;2;2;2;2885;144,25;2;3
2053;15/02/2018;25;1;3;1;2920;146;1;5
2054;16/02/2018;25;1;4;1;2955;147,75;1;5
2055;17/02/2018;19;1;4;3;2990;149,5;2;5
2056;18/02/2018;25;2;2;1;3025;151,25;1;5
2057;19/02/2018;19;2;1;1;3060;153;2;4
2058;20/02/2018;19;1;1;1;3095;154,75;1;5
2059;21/02/2018;25;1;2;1;3130;156,5;1;5
2060;22/02/2018;8;1;3;2;3165;158,25;2;5
2061;23/02/2018;2;2;3;1;3200;160;1;5
2062;24/02/2018;6;2;3;3;3235;161,75;1;4
2063;24/02/2018;7;2;3;1;2345;117,25;1;4
2064;25/02/2018;9;1;2;1;3270;163,5;1;5
2065;26/02/2018;9;1;1;1;3305;165,25;1;5
2066;27/02/2018;9;1;1;1;3340;167;2;5
2067;28/02/2018;10;2;2;1;3375;168,75;1;5
2068;01/03/2018;11;2;3;1;1345;67,25;2;5
2069;02/03/2018;12;1;4;1;1380;69;1;5
2070;03/03/2018;13;1;4;1;1415;70,75;1;5
2071;04/03/2018;14;1;2;2;1450;72,5;2;5
2072;04/03/2018;15;1;1;1;5678;283,9;1;5
2073;04/03/2018;16;1;2;1;4983;249,15;1;4
2074;04/03/2018;17;1;3;1;9845;492,25;1;4
2075;04/03/2018;17;1;4;3;7895;394,75;1;4
2076;05/03/2018;13;2;1;1;1485;74,25;1;3
2077;06/03/2018;25;2;1;1;1520;76;2;3
2078;07/03/2018;25;1;2;1;1555;77,75;1;5
2079;08/03/2018;18;1;3;2;1590;79,5;1;5
2080;09/03/2018;19;1;4;1;1625;81,25;2;5
2081;10/03/2018;20;2;4;1;1660;83;1;4
2082;11/03/2018;21;2;2;1;1695;84,75;2;3
2083;11/03/2018;8;1;1;1;9567;478,35;1;5
2084;11/03/2018;22;1;2;2;5678;283,9;1;5
2085;11/03/2018;23;1;3;1;8765;438,25;1;5
2086;11/03/2018;24;1;4;1;9456;472,8;1;5
2087;11/03/2018;25;1;1;3;4567;228,35;1;4
2088;12/03/2018;26;1;1;1;1730;86,5;1;4
2089;13/03/2018;17;1;1;1;1765;88,25;1;5
2090;14/03/2018;27;1;2;1;1800;90;2;5
2091;15/03/2018;17;2;3;2;1835;91,75;1;5
2092;16/03/2018;7;2;4;1;1870;93,5;2;3
2093;17/03/2018;13;1;4;1;1905;95,25;1;5
2094;18/03/2018;25;1;2;1;1940;97;1;5
2095;19/03/2018;25;1;1;1;1975;98,75;2;5
2096;20/03/2018;19;2;1;3;2010;100,5;1;4
2097;21/03/2018;21;2;2;1;2045;102,25;2;4
2098;22/03/2018;24;1;3;1;2080;104;1;5
2099;23/03/2018;8;1;4;1;2115;105,75;1;5
2100;24/03/2018;21;1;4;3;2150;107,5;2;5
2101;25/03/2018;7;2;2;3;2185;109,25;1;5
2102;26/03/2018;13;2;1;2;2220;111;2;5
2103;27/03/2018;25;1;1;1;2255;112,75;1;5
2104;28/03/2018;25;1;2;1;2290;114,5;1;4
2105;29/03/2018;13;1;3;2;2325;116,25;2;4
2106;30/03/2018;25;2;4;1;2360;118;1;5
2107;31/03/2018;25;2;4;1;2395;119,75;2;5
2108;01/04/2018;19;1;2;1;2430;121,5;1;5
2109;02/04/2018;19;1;1;1;2465;123,25;1;5
2110;03/04/2018;8;1;1;1;2500;125;2;5
2111;04/04/2018;13;2;2;2;2535;126,75;1;5
2112;05/04/2018;19;2;3;3;2570;128,5;2;5
2113;06/04/2018;25;1;4;1;2605;130,25;1;3
2114;06/04/2018;19;1;1;1;8967;448,35;1;5
2115;06/04/2018;19;1;2;1;7896;394,8;1;5
2116;06/04/2018;8;1;3;1;6543;327,15;1;5
2117;06/04/2018;13;1;4;2;8765;438,25;1;3
2118;06/04/2018;19;1;3;1;9456;472,8;1;5
2119;07/04/2018;25;1;4;1;2640;132;1;5
2120;08/04/2018;19;1;2;3;2675;133,75;2;5
2121;09/04/2018;19;2;1;1;2710;135,5;1;5
2122;10/04/2018;25;2;1;1;2745;137,25;2;4
2123;11/04/2018;25;1;2;1;2780;139;1;5
2124;12/04/2018;13;1;3;1;2815;140,75;1;5
2125;13/04/2018;25;1;4;2;2850;142,5;2;5
2126;14/04/2018;25;2;4;1;2885;144,25;1;5
2127;15/04/2018;8;2;2;3;2920;146;2;4
2128;16/04/2018;19;1;1;1;2955;147,75;1;4
2129;17/04/2018;25;1;1;1;2990;149,5;1;5
2130;18/04/2018;19;1;2;1;3025;151,25;2;5
2131;19/04/2018;13;2;3;1;3060;153;1;5
2132;20/04/2018;19;2;4;1;3095;154,75;2;5
2133;20/04/2018;25;2;1;1;3456;172,8;1;5
2134;20/04/2018;8;2;2;1;4567;228,35;1;5
2135;20/04/2018;2;2;3;1;5345;267,25;1;5
2136;20/04/2018;6;2;4;2;3456;172,8;1;5
2137;21/04/2018;7;1;4;1;3130;156,5;1;5
2138;22/04/2018;9;1;2;1;3165;158,25;1;4
2139;23/04/2018;9;1;1;1;3200;160;2;4
2140;24/04/2018;9;2;1;3;3235;161,75;1;4
2141;25/04/2018;10;2;2;1;3270;163,5;2;3
2142;26/04/2018;11;1;3;1;3305;165,25;1;3
2143;27/04/2018;12;1;4;1;3340;167;1;5
2144;28/04/2018;13;1;4;2;3375;168,75;2;5
2145;29/04/2018;14;2;2;1;3410;170,5;1;5
2146;30/04/2018;15;2;1;1;3445;172,25;2;4
2147;01/05/2018;16;1;1;1;1730;86,5;1;3
2148;02/05/2018;17;1;2;1;1765;88,25;1;5
2149;03/05/2018;17;1;3;2;1800;90;2;5
2150;04/05/2018;13;2;4;1;1835;91,75;1;5
2151;05/05/2018;25;2;4;1;1870;93,5;2;5
2152;06/05/2018;25;1;2;3;1905;95,25;1;4
2153;07/05/2018;18;1;1;1;1940;97;1;4
2154;08/05/2018;19;1;1;1;1975;98,75;2;5
2155;09/05/2018;20;2;2;1;2010;100,5;1;5
2156;10/05/2018;21;2;3;2;2045;102,25;1;5
2157;11/05/2018;8;1;4;1;2080;104;1;3
2158;12/05/2018;22;1;4;1;2115;105,75;1;5
2159;13/05/2018;23;1;2;1;2150;107,5;2;5
2160;14/05/2018;24;2;1;1;2185;109,25;1;5
2161;15/05/2018;25;2;1;3;2220;111;2;4
2162;16/05/2018;26;1;2;1;2255;112,75;1;4
2163;17/05/2018;17;1;3;1;2290;114,5;1;5
2164;18/05/2018;27;1;4;1;2325;116,25;2;5
2165;19/05/2018;17;2;4;3;2360;118;1;5
2166;20/05/2018;7;2;2;3;2395;119,75;2;5
2167;21/05/2018;13;1;1;2;2430;121,5;1;5
2168;22/05/2018;25;1;1;1;2465;123,25;1;5
2169;23/05/2018;25;1;2;1;2500;125;2;4
2170;24/05/2018;19;2;3;2;2535;126,75;1;4
2171;25/05/2018;21;2;4;1;2570;128,5;2;5
2172;26/05/2018;24;1;4;1;2605;130,25;1;5
2173;27/05/2018;8;1;2;1;2640;132;1;5
2174;28/05/2018;21;1;1;1;2675;133,75;2;5
2175;29/05/2018;7;2;1;1;2710;135,5;1;5
2176;30/05/2018;13;2;2;2;2745;137,25;2;5
2177;31/05/2018;25;1;3;3;2780;139;1;5
2178;01/06/2018;25;1;4;1;2815;140,75;1;3
2179;02/06/2018;13;1;4;1;2850;142,5;2;5
2180;03/06/2018;25;2;2;1;2885;144,25;1;5
2181;04/06/2018;25;2;1;1;2920;146;2;5
2182;05/06/2018;19;1;1;2;2955;147,75;1;3
2183;06/06/2018;19;1;2;1;2990;149,5;1;5
2184;07/06/2018;8;1;3;1;3025;151,25;2;5
2185;08/06/2018;13;2;4;3;3060;153;1;5
2186;09/06/2018;19;2;4;1;3095;154,75;2;5
2187;10/06/2018;25;1;2;1;3130;156,5;1;4
2188;11/06/2018;19;1;1;1;3165;158,25;1;5
2189;12/06/2018;9;1;1;1;3200;160;1;5
2190;13/06/2018;8;2;2;2;3235;161,75;1;5
2191;14/06/2018;13;2;3;1;3270;163,5;2;5
2192;15/06/2018;19;1;4;3;3305;165,25;1;4
2193;16/06/2018;25;1;4;1;3340;167;1;4
2194;17/06/2018;19;1;2;1;3375;168,75;2;5
2195;18/06/2018;19;2;1;1;3410;170,5;1;5
2196;19/06/2018;25;2;1;1;3445;172,25;2;5
2197;20/06/2018;25;1;2;1;3480;174;1;5
2198;21/06/2018;13;1;3;1;3515;175,75;1;5
2199;22/06/2018;25;1;4;1;3550;177,5;2;5
2200;23/06/2018;25;2;4;1;3585;179,25;1;5
2201;24/06/2018;8;2;2;2;3620;181;2;5
2202;25/06/2018;19;1;1;1;3655;182,75;1;5
2203;26/06/2018;25;1;1;1;3690;184,5;1;4
2204;27/06/2018;19;1;2;1;3725;186,25;2;4
2205;28/06/2018;13;2;3;3;3760;188;1;4
2206;29/06/2018;19;2;4;1;3795;189,75;2;3
2207;30/06/2018;25;1;4;1;3830;191,5;1;3
2208;01/07/2018;8;1;1;1;1345;67,25;1;5
2209;02/07/2018;2;1;1;2;1380;69;1;5
2210;03/07/2018;6;1;2;1;1415;70,75;2;5
2211;03/07/2018;7;1;2;1;3475;173,75;1;4
2212;04/07/2018;9;2;3;1;1450;72,5;1;3
2213;05/07/2018;9;2;4;1;1485;74,25;2;5
2214;05/07/2018;9;2;3;2;2400;120;1;5
2215;06/07/2018;10;1;3;1;1520;76;1;5
2216;07/07/2018;11;1;2;1;1555;77,75;1;5
2217;08/07/2018;12;1;1;3;1590;79,5;2;4
2218;09/07/2018;13;2;1;1;1625;81,25;1;4
2219;10/07/2018;14;2;2;1;1660;83;2;5
2220;11/07/2018;15;1;3;1;1695;84,75;1;5
2221;12/07/2018;16;1;4;2;1730;86,5;1;5
2222;13/07/2018;17;1;4;1;1765;88,25;2;3
2223;14/07/2018;17;2;2;1;1800;90;1;5
2224;15/07/2018;13;2;1;1;1835;91,75;2;5
2225;15/07/2018;25;1;4;1;5798;289,9;1;5
2226;16/07/2018;25;1;1;3;1870;93,5;1;4
2227;17/07/2018;18;1;2;1;1905;95,25;1;4
2228;17/07/2018;19;2;2;1;2345;117,25;1;5
2229;18/07/2018;20;1;3;1;1940;97;2;5
2230;19/07/2018;21;2;3;3;1975;98,75;1;5
2231;20/07/2018;8;2;3;3;2010;100,5;2;5
2232;21/07/2018;22;1;2;2;2045;102,25;1;5
2233;22/07/2018;23;1;1;1;2080;104;1;5
2234;23/07/2018;24;1;1;1;2115;105,75;2;4
2235;24/07/2018;25;2;2;2;2150;107,5;1;4
2236;25/07/2018;26;2;3;1;2185;109,25;2;5
2237;26/07/2018;17;1;4;1;2220;111;1;5
2238;27/07/2018;27;1;4;1;2255;112,75;1;5
2239;28/07/2018;17;1;2;1;2290;114,5;2;5
2240;29/07/2018;7;2;1;1;2325;116,25;1;5
2241;30/07/2018;13;2;1;2;2360;118;2;5
2242;31/07/2018;25;1;2;3;2395;119,75;1;5
2243;01/08/2018;25;1;3;1;2430;121,5;1;3
2244;02/08/2018;19;1;3;1;2465;123,25;2;5
2245;03/08/2018;21;2;3;1;2500;125;1;5
2246;04/08/2018;24;2;2;1;2535;126,75;2;5
2247;05/08/2018;8;1;1;2;2570;128,5;1;3
2248;06/08/2018;21;1;1;1;2605;130,25;1;5
2249;07/08/2018;7;1;2;1;2640;132;2;5
2250;07/08/2018;13;1;3;3;5678;283,9;1;5
2251;08/08/2018;25;2;3;1;2675;133,75;1;5
2252;09/08/2018;25;2;4;1;2710;135,5;2;4
2253;10/08/2018;13;1;4;1;2745;137,25;1;5
2254;11/08/2018;25;1;2;1;2780;139;1;5
2255;12/08/2018;25;1;1;2;2815;140,75;2;5
2256;13/08/2018;19;2;1;1;2850;142,5;1;5
2257;14/08/2018;19;2;2;3;2885;144,25;2;4
2258;15/08/2018;8;1;3;1;2920;146;1;4
2259;16/08/2018;13;1;4;1;2955;147,75;1;5
2260;17/08/2018;19;1;4;1;2990;149,5;2;5
2261;18/08/2018;25;2;2;1;3025;151,25;1;5
2262;19/08/2018;19;2;1;1;3060;153;2;5
2263;20/08/2018;19;1;1;1;3095;154,75;1;5
2264;21/08/2018;8;1;2;1;3130;156,5;1;5
2265;22/08/2018;13;1;3;1;3165;158,25;2;5
2266;23/08/2018;19;2;3;2;3200;160;1;5
2267;24/08/2018;25;2;3;1;3235;161,75;2;5
2268;24/08/2018;19;2;3;1;2345;117,25;1;4
2269;25/08/2018;19;1;2;1;3270;163,5;1;4
2270;26/08/2018;25;1;1;3;3305;165,25;1;4
2271;27/08/2018;25;1;1;1;3340;167;2;3
2272;28/08/2018;13;2;2;1;3375;168,75;1;3
2273;01/09/2018;25;2;3;1;1345;67,25;2;5
2274;02/09/2018;25;1;4;2;1380;69;1;5
2275;03/09/2018;8;1;4;1;1415;70,75;1;5
2276;04/09/2018;19;1;2;1;1450;72,5;2;4
2277;04/09/2018;25;1;1;1;5678;283,9;1;3
2278;04/09/2018;19;1;2;1;4983;249,15;1;5
2279;04/09/2018;13;1;3;2;9845;492,25;1;5
2280;04/09/2018;19;1;4;1;7895;394,75;1;5
2281;05/09/2018;25;2;1;1;1485;74,25;1;5
2282;06/09/2018;8;2;1;3;1520;76;2;4
2283;07/09/2018;2;1;2;1;1555;77,75;1;4
2284;08/09/2018;6;1;3;1;1590;79,5;1;5
2285;09/09/2018;7;1;4;1;1625;81,25;2;5
2286;10/09/2018;9;2;4;2;1660;83;1;5
2287;11/09/2018;9;2;2;1;1695;84,75;2;3
2288;11/09/2018;9;1;1;1;9567;478,35;1;5
2289;11/09/2018;10;1;2;1;5678;283,9;1;5
2290;11/09/2018;11;1;3;1;8765;438,25;1;5
2291;11/09/2018;12;1;4;3;9456;472,8;1;4
2292;11/09/2018;13;1;1;1;4567;228,35;1;4
2293;12/09/2018;14;1;1;1;1730;86,5;1;5
2294;13/09/2018;15;1;1;1;1765;88,25;1;5
2295;14/09/2018;16;1;2;3;1800;90;2;5
2296;15/09/2018;17;2;3;3;1835;91,75;1;5
2297;16/09/2018;17;2;4;2;1870;93,5;2;5
2298;17/09/2018;13;1;4;1;1905;95,25;1;5
2299;18/09/2018;25;1;2;1;1940;97;1;4
2300;19/09/2018;25;1;1;2;1975;98,75;2;4
2301;20/09/2018;18;2;1;1;2010;100,5;1;5
2302;21/09/2018;19;2;2;1;2045;102,25;2;5
2303;22/09/2018;20;1;3;1;2080;104;1;5
2304;23/09/2018;21;1;4;1;2115;105,75;1;5
2305;24/09/2018;8;1;4;1;2150;107,5;2;5
2306;25/09/2018;22;2;2;2;2185;109,25;1;5
2307;26/09/2018;23;2;1;3;2220;111;2;5
2308;27/09/2018;24;1;1;1;2255;112,75;1;3
2309;28/09/2018;25;1;2;1;2290;114,5;1;5
2310;29/09/2018;26;1;3;1;2325;116,25;2;5
2311;30/09/2018;17;2;4;1;2360;118;1;5
2312;30/09/2018;27;2;4;2;2395;119,75;2;3
2313;01/10/2018;17;1;2;1;2430;121,5;1;5
2314;02/10/2018;7;1;1;1;2465;123,25;1;5
2315;03/10/2018;13;1;1;3;2500;125;2;5
2316;04/10/2018;25;2;2;1;2535;126,75;1;5
2317;05/10/2018;25;2;3;1;2570;128,5;2;4
2318;06/10/2018;19;1;4;1;2605;130,25;1;5
2319;06/10/2018;21;1;1;1;8967;448,35;1;5
2320;06/10/2018;24;1;2;2;7896;394,8;1;5
2321;06/10/2018;8;1;3;1;6543;327,15;1;5
2322;06/10/2018;21;1;4;3;8765;438,25;1;4
2323;06/10/2018;7;1;3;1;9456;472,8;1;4
2324;07/10/2018;13;1;4;1;2640;132;1;5
2325;08/10/2018;25;1;2;1;2675;133,75;2;5
2326;09/10/2018;25;2;1;1;2710;135,5;1;5
2327;10/10/2018;13;2;1;1;2745;137,25;2;5
2328;11/10/2018;25;1;2;1;2780;139;1;5
2329;12/10/2018;25;1;3;1;2815;140,75;1;5
2330;13/10/2018;19;1;4;1;2850;142,5;2;5
2331;14/10/2018;19;2;4;2;2885;144,25;1;5
2332;15/10/2018;8;2;2;1;2920;146;2;5
2333;16/10/2018;13;1;1;1;2955;147,75;1;4
2334;17/10/2018;19;1;1;1;2990;149,5;1;4
2335;18/10/2018;25;1;2;3;3025;151,25;2;4
2336;19/10/2018;19;2;3;1;3060;153;1;3
2337;20/10/2018;19;2;4;1;3095;154,75;2;3
2338;20/10/2018;8;2;1;1;3456;172,8;1;5
2339;20/10/2018;13;2;2;2;4567;228,35;1;5
2340;20/10/2018;19;2;3;1;5345;267,25;1;5
2341;20/10/2018;25;2;4;1;3456;172,8;1;4
2342;21/10/2018;19;1;4;1;3130;156,5;1;3
2343;22/10/2018;19;1;2;1;3165;158,25;1;5
2344;23/10/2018;25;1;1;2;3200;160;2;5
2345;24/10/2018;25;2;1;1;3235;161,75;1;5
2346;25/10/2018;13;2;2;1;3270;163,5;2;5
2347;26/10/2018;25;1;3;3;3305;165,25;1;4
2348;27/10/2018;25;1;4;1;3340;167;1;4
2349;28/10/2018;8;1;4;1;3375;168,75;2;5
2350;29/10/2018;19;2;2;1;3410;170,5;1;5
2351;30/10/2018;25;2;1;2;3445;172,25;2;5
2352;01/11/2018;19;1;1;1;1730;86,5;1;3
2353;02/11/2018;13;1;2;1;1765;88,25;1;5
2354;03/11/2018;19;1;3;1;1800;90;2;5
2355;04/11/2018;25;2;4;1;1835;91,75;1;5
2356;05/11/2018;8;2;4;3;1870;93,5;2;4
2357;06/11/2018;2;1;2;1;1905;95,25;1;4
2358;07/11/2018;6;1;1;1;1940;97;1;5
2359;08/11/2018;7;1;1;1;1975;98,75;2;5
2360;09/11/2018;9;2;2;3;2010;100,5;1;5
2361;10/11/2018;9;2;3;3;2045;102,25;2;5
2362;11/11/2018;9;1;4;2;2080;104;1;5
2363;12/11/2018;10;1;4;1;2115;105,75;1;5
2364;13/11/2018;11;1;2;1;2150;107,5;2;4
2365;14/11/2018;12;2;1;2;2185;109,25;1;4
2366;15/11/2018;13;2;1;1;2220;111;2;5
2367;16/11/2018;14;1;2;1;2255;112,75;1;5
2368;17/11/2018;15;1;3;1;2290;114,5;1;5
2369;18/11/2018;16;1;4;1;2325;116,25;2;5
2370;19/11/2018;17;2;4;1;2360;118;1;5
2371;20/11/2018;17;2;2;2;2395;119,75;2;5
2372;21/11/2018;13;1;1;3;2430;121,5;1;5
2373;22/11/2018;25;1;1;1;2465;123,25;1;3
2374;23/11/2018;25;1;2;1;2500;125;2;5
2375;24/11/2018;18;2;3;1;2535;126,75;1;5
2376;25/11/2018;19;2;4;1;2570;128,5;2;5
2377;26/11/2018;20;1;4;2;2605;130,25;1;3
2378;27/11/2018;21;1;2;1;2640;132;1;5
2379;28/11/2018;8;1;1;1;2675;133,75;2;5
2380;29/11/2018;22;2;1;3;2710;135,5;1;5
2381;30/11/2018;23;2;2;1;2745;137,25;2;5
2382;30/11/2018;24;1;3;1;2780;139;1;4
2383;01/12/2018;25;1;4;1;2815;140,75;1;5
2384;02/12/2018;26;1;4;1;2850;142,5;2;5
2385;03/12/2018;17;2;2;2;2885;144,25;1;5
2386;04/12/2018;27;2;1;1;2920;146;2;5
2387;05/12/2018;17;1;1;3;2955;147,75;1;4
2388;06/12/2018;7;1;2;1;2990;149,5;1;4
2389;07/12/2018;13;1;3;1;3025;151,25;2;5
2390;08/12/2018;25;2;4;1;3060;153;1;5
2391;09/12/2018;25;2;4;1;3095;154,75;2;5
2392;10/12/2018;19;1;2;1;3130;156,5;1;5
2393;11/12/2018;21;1;1;1;3165;158,25;1;5
2394;12/12/2018;24;1;1;1;3200;160;2;5
2395;13/12/2018;8;2;2;1;3235;161,75;1;5
2396;14/12/2018;21;2;3;2;3270;163,5;2;5
2397;15/12/2018;7;1;4;1;3305;165,25;1;5
2398;16/12/2018;13;1;4;1;3340;167;1;4
2399;17/12/2018;25;1;2;1;3375;168,75;2;4
2400;18/12/2018;25;2;1;3;3410;170,5;1;4
2401;19/12/2018;13;2;1;1;3445;172,25;2;3
2402;20/12/2018;25;1;2;1;3480;174;1;3
2403;21/12/2018;25;1;3;1;3515;175,75;1;5
2404;22/12/2018;19;1;4;2;3550;177,5;2;5
2405;23/12/2018;19;2;4;1;3585;179,25;1;5
2406;24/12/2018;8;2;2;1;3620;181;2;4
2407;25/12/2018;13;1;1;1;3655;182,75;1;3
2408;26/12/2018;19;1;1;1;3690;184,5;1;5
2409;27/12/2018;25;1;2;2;3725;186,25;2;5
2410;28/12/2018;19;2;3;1;3760;188;1;5
2411;29/12/2018;19;2;4;1;3795;189,75;2;5
2412;30/12/2018;8;1;4;3;3830;191,5;1;4
